feature,rank_1_mean,rank_2_mean,rank_3_mean,rank1_minus_rank3
text_length,10131.095434369056,8788.874128091313,8345.965757767914,1785.129676601142
image_count,83.96766011414077,74.98256182625238,69.0428027901078,14.92485732403297
table_count,6.070703868103995,5.502219403931515,5.300253646163601,0.7704502219403935
list_item_count,164.64679771718454,145.51743817374762,142.33386176284083,22.312935954343715
paragraph_count,56.933734939759034,49.02314521242866,43.51173113506658,13.422003804692451
section_count,17.561826252377934,12.715282181357008,12.737476220672162,4.824350031705771
jsonld_field_count,6.330691185795815,6.11287254280279,5.790741915028535,0.5399492707672797
explicit_number_count,34.4571972098922,28.571972098922004,27.35034876347495,7.106848446417249
ambiguous_term_count,0.6915028535193405,0.23272035510462905,0.11128725428027901,0.5802155992390615
numeric_specificity_ratio,0.983435637285986,0.9919616360177552,0.9943275206087507,-0.010891883322764695
price_krw,17732.435003170576,18991.93088142042,22551.07799619531,-4818.642993024732
skin_type_targets_count,3.201014584654407,2.6813570069752695,2.3078630310716552,0.8931515535827517
ph_value,6.241548387096775,6.758095238095238,7.2,-0.9584516129032252
active_ingredient_count,3.541851616994293,3.164870006341154,2.443880786303107,1.0979708306911857
claim_keyword_count,20.837349397590362,12.417247939124922,9.479391249207355,11.357958148383007
texture_keyword_count,4.515535827520608,1.9993658845909956,1.3871274571972099,3.1284083703233985
no_list_count,0.14584654407102093,0.1471147748890298,0.11001902346227013,0.0358275206087508
cosmetic_cert_count,0.448002536461636,0.16772352568167406,0.07545973367152822,0.37254280279010776
volume_ml,181.29584086799278,167.9614314115308,157.57563368765332,23.720207180339457
aggregate_rating_value,4.876651444043322,4.85877722823287,4.823403675970048,0.05324776807327414
aggregate_rating_count,726.7324007220217,1189.2601751674395,1221.781484002723,-495.0490832807012
T7_eat_score,1.908687381103361,1.6293595434369055,1.4473684210526316,0.46131896005072925
Q4_social_proof_count,2.1309448319594164,1.8633481293595435,1.4686112872542803,0.6623335447051362
Q9_external_authority_count,0.024096385542168676,0.045656309448319596,0.04185161699429296,-0.017755231452124286
price_per_ml,120.92784629806233,156.34654531496133,235.38662503298028,-114.45877873491794
