cleansing_subtype,appearances,avg_rank,top1_rate
milk,98,1.2959183673469388,0.7551020408163265
cream,236,1.5042372881355932,0.5932203389830508
gel,306,1.5784313725490196,0.5555555555555556
water,159,1.6729559748427674,0.5094339622641509
foam,6420,2.000155763239875,0.32928348909657323
balm,411,2.0851581508515813,0.2749391727493917
oil,781,2.089628681177977,0.2919334186939821
unknown,942,2.2441613588110405,0.23142250530785563
powder,109,2.2844036697247705,0.14678899082568808
