brand_ko,appearances,avg_rank,top1_rate
아토팜,41,1.0,1.0
네오팜,119,1.1008403361344539,0.8991596638655462
피지오겔,85,1.1058823529411765,0.8941176470588236
토니모리,36,1.2222222222222223,0.7777777777777778
스킨1004,54,1.2592592592592593,0.7592592592592593
아비브,195,1.2769230769230768,0.7589743589743589
리얼베리어,281,1.313167259786477,0.7580071174377224
맥스클리닉,42,1.3333333333333333,0.6904761904761905
베네투스,83,1.3373493975903614,0.7349397590361446
빌리프,52,1.3461538461538463,0.6923076923076923
셀리맥스,36,1.3611111111111112,0.6944444444444444
유이크,92,1.4565217391304348,0.6413043478260869
휩드,48,1.4583333333333333,0.6041666666666666
웰라쥬,52,1.5,0.5769230769230769
에스트라,54,1.5185185185185186,0.5740740740740741
지피덤,56,1.5535714285714286,0.48214285714285715
조선미녀,31,1.5806451612903225,0.5161290322580645
비플레인,119,1.588235294117647,0.5378151260504201
편강율,138,1.5942028985507246,0.5652173913043478
닥터오라클,53,1.6037735849056605,0.4716981132075472
달바,39,1.6153846153846154,0.48717948717948717
땡큐파머,54,1.6296296296296295,0.46296296296296297
메디팜,49,1.6326530612244898,0.5102040816326531
시드물,32,1.65625,0.40625
비레디,34,1.6764705882352942,0.4411764705882353
토리든,235,1.676595744680851,0.5148936170212766
원씽,115,1.6782608695652175,0.48695652173913045
듀이트리,212,1.7169811320754718,0.46226415094339623
일리윤,134,1.7238805970149254,0.48507462686567165
일루미엘,64,1.734375,0.421875
오드로이,57,1.736842105263158,0.40350877192982454
라운드랩,137,1.7372262773722629,0.4233576642335766
그레이멜린,122,1.7377049180327868,0.4262295081967213
파티온,47,1.7659574468085106,0.3191489361702128
라로슈포제,40,1.775,0.475
리쥬란,51,1.7843137254901962,0.37254901960784315
아누아,334,1.8173652694610778,0.4281437125748503
메디섹션넘버,41,1.853658536585366,0.34146341463414637
바닐라코,201,1.8656716417910448,0.373134328358209
센텔리안24,46,1.8695652173913044,0.391304347826087
코스알엑스,97,1.8762886597938144,0.3711340206185567
벤튼,184,1.891304347826087,0.3641304347826087
바이오던스,40,1.9,0.325
에이프릴스킨,52,1.9230769230769231,0.38461538461538464
스킨바리스타,53,1.9245283018867925,0.3018867924528302
파파레서피,90,1.9333333333333333,0.3111111111111111
메디필,442,1.995475113122172,0.29638009049773756
라곰,355,2.0,0.3267605633802817
닥터벨머,60,2.0,0.3333333333333333
제이엠솔루션,56,2.0,0.25
닥터지,94,2.0106382978723403,0.32978723404255317
티엘스,38,2.026315789473684,0.3157894736842105
바노바기,40,2.05,0.275
이니스프리,97,2.0618556701030926,0.26804123711340205
나인위시스,154,2.0714285714285716,0.24025974025974026
메디힐,120,2.1166666666666667,0.225
메디큐브,265,2.1358490566037736,0.18867924528301888
아임프롬,257,2.1634241245136185,0.2140077821011673
오휘,39,2.1794871794871793,0.1794871794871795
볼드포뮬러,22,2.1818181818181817,0.2727272727272727
이디케이,26,2.1923076923076925,0.19230769230769232
미샤,43,2.2093023255813953,0.11627906976744186
아이소이,43,2.2093023255813953,0.16279069767441862
블랑네이처,37,2.2162162162162162,0.16216216216216217
셀퓨전씨,34,2.235294117647059,0.14705882352941177
와더스킨,152,2.2565789473684212,0.23684210526315788
성분에디터,40,2.275,0.1
엘리메르,74,2.2837837837837838,0.10810810810810811
스트라이덱스,34,2.2941176470588234,0.20588235294117646
비알머드,54,2.2962962962962963,0.1111111111111111
스킨푸드,296,2.300675675675676,0.16216216216216217
이아소,114,2.307017543859649,0.16666666666666666
은율,298,2.315436241610738,0.20134228187919462
클럽클리오,38,2.3157894736842106,0.13157894736842105
구달,85,2.3176470588235296,0.11764705882352941
에뛰드,204,2.3333333333333335,0.18137254901960784
블라이드,38,2.3421052631578947,0.13157894736842105
네이처리퍼블릭,34,2.411764705882353,0.11764705882352941
이즈앤트리,46,2.4130434782608696,0.15217391304347827
더마겐,32,2.4375,0.0625
션리,45,2.4444444444444446,0.08888888888888889
비알엠유디,128,2.4453125,0.1875
주미소,54,2.4814814814814814,0.037037037037037035
헉슬리,48,2.5,0.08333333333333333
퐁당,139,2.5251798561151078,0.14388489208633093
퓨어케이,51,2.549019607843137,0.0784313725490196
멜릭서,47,2.5531914893617023,0.06382978723404255
앰플엔,38,2.5789473684210527,0.0
메이크프렘,99,2.595959595959596,0.050505050505050504
식물나라,60,2.683333333333333,0.06666666666666667
더후,255,2.7215686274509805,0.023529411764705882
헤밀르,48,2.75,0.020833333333333332
설화수,155,2.761290322580645,0.012903225806451613
페이스인페이스,53,2.792452830188679,0.0
일소,91,2.8241758241758244,0.01098901098901099
잇츠스킨,51,2.843137254901961,0.0196078431372549
언리시아,34,2.8823529411764706,0.0
유리피부,34,2.9705882352941178,0.0
실크크리스탈,44,3.0,0.0
