item_id,trial_brand,top1_count
https://anua.kr/product/detail.html?product_no=420,아누아,21
https://aprilskin.com/product/detail.html?product_no=957,에이프릴스킨,21
https://pyunkangyul.com/product/%ED%81%B4%EB%A0%8C%EC%A7%95%ED%8F%BC-150ml/163/category/231/display/1/,편강율,21
https://themedicube.co.kr/product/유튜버-pick-제로-폼-클렌저/356,메디큐브,20
https://myrealbarrier.co.kr/product/detail.html?product_no=125,리얼베리어,20
https://www.torriden.com/goods/goods_view.php?goodsNo=158,토리든,20
https://9wishes.co.kr/product/%EB%9D%BC%EC%9D%B4%EC%8A%A4-%ED%8F%AC%EB%B0%8D-%ED%81%B4%EB%A0%8C%EC%A0%80/98/category/78/display/1/,나인위시스,20
https://myrealbarrier.co.kr/product/detail.html?product_no=215&cate_no=48&display_group=1,리얼베리어,19
https://mixsoon.co.kr/product/detail.html?product_no=338&cate_no=106&display_group=1,믹순,19
https://www.celltrionmall.com/item/DL2025031243,지피덤,19
https://medipeel.co.kr/product/detail.html?product_no=2687&cate_no=499&display_group=1,메디필,19
https://m.bentoncosmetic.com/product/detail.html?product_no=681&cate_no=188&display_group=1,벤튼,19
https://jmsolution.com/product/솔루션-pdrn-클렌징-폼-120ml-2개-세트/3413/,제이엠솔루션,18
https://brdy-official.com/product/시카페인-트러블-리셋-클렌징폼/30/,비레디,18
https://m.bentoncosmetic.com/product/%EB%B2%A4%ED%8A%BC-ac-%EB%B0%94%ED%95%98-%ED%8F%BC-%ED%81%B4%EB%A0%8C%EC%A7%95-120ml-%EC%95%BD%EC%82%B0%EC%84%B1-bha-%EB%AF%B8%EC%82%B0%EC%84%B1-%ED%94%BC%EB%B6%80%EA%B3%BC-%EB%94%A5-%ED%81%B4%EB%A0%8C%EC%A0%80-%EC%84%B8%EC%95%88%EC%A0%9C/689/category/188/display/1/#enp_mbris,벤튼,18
https://neopharmshop.co.kr/product/detail.html?product_no=2144&cate_no=48&display_group=1,네오팜,17
https://dewytree.com/product/detail.html?product_no=938&cate_no=54&display_group=1,듀이트리,17
https://anua.kr/product/detail.html?product_no=432&cate_no=24&display_group=1,아누아,17
https://wellage.co.kr/product/%EB%A6%AC%EC%96%BC-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%9C%EB%8B%89-%EC%95%84%EB%AF%B8%EB%85%B8-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-150ml/1256/,웰라쥬,17
