set_id,sku_pos,brand_ko,fp_url,resolved_url,is_ambiguous,text_length,image_count,table_count,list_item_count,paragraph_count,section_count,jsonld_field_count,explicit_number_count,ambiguous_term_count,numeric_specificity_ratio,price_krw,skin_type_targets_count,ph_value,active_ingredient_count,claim_keyword_count,texture_keyword_count,no_list_count,cosmetic_cert_count,volume_ml,aggregate_rating_value,aggregate_rating_count,T7_eat_score,Q4_social_proof_count,Q9_external_authority_count
r2_main_00958,1,이니스프리,https://www.innisfree.com/kr/ko/dp/product/35277,https://www.innisfree.com/kr/ko/dp/product/35277,False,2893.0,16.0,1.0,163.0,32.0,8.0,6.0,9.0,2.0,0.818,1000.0,8.0,,1.0,21.0,0.0,0.0,0.0,,4.9,30064.0,2.0,2.0,0.0
r2_main_00958,2,라운드랩,https://roundlab.co.kr/product/detail.html?product_no=130,https://roundlab.co.kr/product/detail.html?product_no=130,False,10552.0,67.0,5.0,131.0,11.0,6.0,6.0,11.0,0.0,1.0,19500.0,2.0,,4.0,11.0,0.0,0.0,0.0,200.0,4.5,15.0,1.0,1.0,0.0
r2_main_00958,3,숨37,https://sum37.com/product/detail.html?product_no=382&cate_no=24&display_group=1,https://sum37.com/product/detail.html?product_no=382&cate_no=24&display_group=1,False,6146.0,50.0,6.0,90.0,28.0,5.0,6.0,25.0,0.0,1.0,42000.0,3.0,,8.0,8.0,0.0,0.0,0.0,100.0,5.0,16.0,2.0,1.0,0.0
r2_main_00959,1,더후,https://thewhoo.com/product/detail.html?product_no=650,https://thewhoo.com/product/detail.html?product_no=650,False,15263.0,76.0,10.0,196.0,49.0,21.0,6.0,40.0,0.0,1.0,43000.0,0.0,,2.0,11.0,5.0,0.0,0.0,180.0,,,2.0,1.0,0.0
r2_main_00959,2,듀이트리,https://dewytree.com/product/detail.html?product_no=21&cate_no=54&display_group=1,https://dewytree.com/product/detail.html?product_no=21&cate_no=54&display_group=1,False,3073.0,34.0,3.0,42.0,18.0,2.0,6.0,9.0,0.0,1.0,3000.0,1.0,,2.0,2.0,0.0,0.0,0.0,,4.8,101.0,2.0,3.0,0.0
r2_main_00959,3,수이스킨,https://www.suiskin.co.kr/product/detail.html?product_no=253&cate_no=83&display_group=1,https://www.suiskin.co.kr/product/detail.html?product_no=253&cate_no=83&display_group=1,False,10509.0,68.0,6.0,95.0,20.0,11.0,6.0,18.0,0.0,1.0,12900.0,2.0,,2.0,16.0,0.0,1.0,0.0,150.0,4.9,450.0,1.0,3.0,0.0
r2_main_00960,1,비레디,https://brdy-official.com/product/시카페인-트러블-리셋-클렌징폼/30/,https://brdy-official.com/product/시카페인-트러블-리셋-클렌징폼/30/,False,22251.0,67.0,12.0,188.0,42.0,20.0,6.0,44.0,1.0,0.978,19500.0,5.0,6.3,3.0,59.0,0.0,0.0,1.0,,,,3.0,1.0,0.0
r2_main_00960,2,메디큐브,https://themedicube.co.kr/product/detail.html?product_no=2713&cate_no=308&display_group=1,https://themedicube.co.kr/product/detail.html?product_no=2713&cate_no=308&display_group=1,False,12590.0,85.0,5.0,104.0,36.0,4.0,8.0,28.0,0.0,1.0,45400.0,2.0,,6.0,2.0,0.0,0.0,0.0,500.0,,,1.0,0.0,1.0
r2_main_00960,3,토리든,https://www.torriden.com/goods/goods_view.php?goodsNo=153,https://www.torriden.com/goods/goods_view.php?goodsNo=153,False,9401.0,73.0,1.0,151.0,65.0,13.0,0.0,38.0,0.0,1.0,5000.0,2.0,,3.0,9.0,0.0,0.0,0.0,150.0,,,1.0,0.0,0.0
r2_main_00961,1,구달,https://clubclio.co.kr/shop/goodsView/0000006568#page1&id=0000006568,https://clubclio.co.kr/shop/goodsView/0000006568#page1&id=0000006568,False,6996.0,145.0,2.0,196.0,83.0,4.0,0.0,59.0,0.0,1.0,15000.0,5.0,,7.0,17.0,0.0,0.0,0.0,50.0,,,1.0,2.0,0.0
r2_main_00961,2,엘리메르,https://www.elimerek.com/shop/shopdetail.html?branduid=3558997&xcode=001&mcode=001&scode=&type=Y&sor,https://www.elimerek.com/shop/shopdetail.html?branduid=3558997&xcode=001&mcode=001&scode=&type=Y&sort=regdate&current_category=001001&search=&GfDT=bmd3Ug%3D%3D,False,2893.0,50.0,5.0,61.0,19.0,11.0,6.0,14.0,0.0,1.0,17500.0,3.0,,1.0,2.0,0.0,0.0,0.0,120.0,,,0.0,2.0,0.0
r2_main_00961,3,아임프롬,https://imfrom.co.kr/product/detail.html?product_no=205&cate_no=175&display_group=1,https://imfrom.co.kr/product/detail.html?product_no=205&cate_no=175&display_group=1,False,3653.0,32.0,8.0,48.0,43.0,9.0,5.0,27.0,1.0,0.964,28000.0,2.0,,1.0,4.0,2.0,0.0,1.0,200.0,,,2.0,1.0,0.0
r2_main_00962,1,와더스킨,https://whataskin.co.kr/product/%ED%93%A8%EC%96%B4%EB%AF%B8-%ED%9C%A9-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC,https://whataskin.co.kr/product/%ED%93%A8%EC%96%B4%EB%AF%B8-%ED%9C%A9-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-150g/22/category/29/display/1/,False,10446.0,47.0,7.0,90.0,26.0,17.0,5.0,17.0,0.0,1.0,18900.0,0.0,,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
r2_main_00962,2,아임프롬,https://imfrom.co.kr/product/detail.html?product_no=245&cate_no=175&display_group=1,https://imfrom.co.kr/product/detail.html?product_no=245&cate_no=175&display_group=1,False,3930.0,32.0,8.0,48.0,43.0,9.0,5.0,29.0,0.0,1.0,24000.0,1.0,,3.0,7.0,2.0,0.0,1.0,,,,2.0,1.0,0.0
r2_main_00962,3,라곰,https://lagom.kr/product/detail.html?product_no=11&cate_no=86&display_group=1,https://lagom.kr/product/detail.html?product_no=11&cate_no=86&display_group=1,False,11091.0,77.0,7.0,70.0,64.0,8.0,6.0,14.0,0.0,1.0,16000.0,8.0,,2.0,11.0,2.0,0.0,0.0,120.0,4.9,611.0,2.0,4.0,0.0
r2_main_00963,1,에이프릴스킨,https://aprilskin.com/product/detail.html?product_no=957,https://aprilskin.com/product/detail.html?product_no=957,False,12494.0,90.0,6.0,105.0,34.0,6.0,9.0,24.0,0.0,1.0,18200.0,1.0,,4.0,9.0,0.0,0.0,0.0,,4.6,1548.0,2.0,3.0,0.0
r2_main_00963,2,메디큐브,https://themedicube.co.kr/product/detail.html?product_no=2304&cate_no=44&display_group=1,https://themedicube.co.kr/product/detail.html?product_no=2304&cate_no=44&display_group=1,False,13529.0,120.0,5.0,130.0,68.0,4.0,9.0,31.0,0.0,1.0,21300.0,2.0,,8.0,2.0,0.0,0.0,0.0,,4.7,212.0,2.0,2.0,1.0
r2_main_00963,3,메디필,https://medipeel.co.kr/product/detail.html?product_no=2687&cate_no=499&display_group=1,https://medipeel.co.kr/product/detail.html?product_no=2687&cate_no=499&display_group=1,False,11963.0,68.0,4.0,99.0,66.0,13.0,6.0,31.0,0.0,1.0,12900.0,1.0,,6.0,10.0,1.0,1.0,0.0,300.0,4.8,643.0,2.0,3.0,0.0
r2_main_00964,1,라곰,https://lagom.kr/product/detail.html?product_no=327&cate_no=86&display_group=1,https://lagom.kr/product/detail.html?product_no=327&cate_no=86&display_group=1,False,11007.0,77.0,7.0,67.0,64.0,8.0,6.0,14.0,0.0,1.0,4000.0,9.0,,1.0,12.0,0.0,0.0,0.0,20.0,5.0,8.0,2.0,3.0,0.0
r2_main_00964,2,네오팜,https://neopharmshop.co.kr/product/detail.html?product_no=2215&cate_no=43&display_group=1,https://neopharmshop.co.kr/product/detail.html?product_no=2215&cate_no=43&display_group=1,False,28067.0,181.0,15.0,493.0,126.0,69.0,6.0,70.0,8.0,0.897,13500.0,3.0,5.5,3.0,34.0,18.0,0.0,3.0,150.0,4.8,143.0,3.0,3.0,0.0
