resolved_url,pl_score,pl_prob,exposure_count,top1_count,avg_rank
https://boldformula.com/product/%ED%99%94%ED%95%B4-1%EC%9C%84-%ED%94%BC%EC%A7%80-%ED%9D%A1%EC%B0%A9-%EC%97%AC%EB%93%9C%EB%A6%84-%EA%B8%B0%EB%8A%A5%EC%84%B1-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC/40/category/46/display/1/,-1.4006862645729938,1.0326912871290989e-05,11,2,2.272727272727273
https://brdy-official.com/product/시카페인-트러블-리셋-클렌징폼/30/,-1.336940986712027,1.1006639322939536e-05,17,4,2.0
https://brmudkorea.com/product/detail.html?product_no=13&cate_no=90&display_group=1,-2.5365857040865203,3.3163140761692924e-06,28,1,2.4642857142857144
https://brmudkorea.com/product/detail.html?product_no=171&cate_no=90&display_group=1,3.7893229525809797,0.001853373192011061,16,14,1.1875
https://brmudkorea.com/product/detail.html?product_no=178&cate_no=90&display_group=1,-6.283956957277567,7.819752316357792e-08,16,0,2.875
https://brmudkorea.com/product/detail.html?product_no=21&cate_no=72&display_group=1,-7.333357589457791,2.7380671418103615e-08,19,0,3.0
https://brmudkorea.com/product/detail.html?product_no=87&cate_no=90&display_group=1,-5.189647751992848,2.3358526691089973e-07,14,0,2.857142857142857
https://celimax.co.kr/product/%EC%8B%9C%EC%B9%B4-%EB%B0%94%ED%95%98-%EC%A7%80%EC%9A%B0%EA%B0%9C-%ED%8F%BC-%ED%81%B4%EB%A0%8C%EC%A7%95-150ml/26/category/48/display/1/,1.6332606488915642,0.00021458379207582324,18,9,1.6111111111111112
https://cellfusionc.co.kr/product/약산성-패리어-클렌징폼-165ml/267/,-2.3336041974861135,4.062649937873197e-06,17,1,2.4705882352941178
https://clubclio.co.kr/shop/goodsView/0000005420#page1&id=0000005420,-0.15025017321347242,3.606018972140569e-05,19,5,2.0526315789473686
https://clubclio.co.kr/shop/goodsView/0000005485,-2.444365979887809,3.6366890728950305e-06,19,2,2.3684210526315788
https://clubclio.co.kr/shop/goodsView/0000006568#page1&id=0000006568,-2.778676085279694,2.6032575560417235e-06,25,1,2.64
https://coreanamall.com/products/view/FCXJ060100,-2.6534841888048306,2.9504433979300836e-06,19,0,2.736842105263158
https://dalba.co.kr/goods/goods_view.php?goodsNo=1000000096,0.7802656922922275,9.144204142542683e-05,20,9,1.65
https://dermagen.co.kr/product/%EB%8D%94%EB%A7%88%EA%B2%90-%EC%95%84%ED%81%AC%EC%8B%B9-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-180ml/62/,-3.6001694852646833,1.1448460421720247e-06,16,0,2.6875
