item_id,brand_ko,appearances,unique_set_ids,is_ambiguous,price_krw
https://9wishes.co.kr/product/%ED%95%98%EC%9D%B4%EB%93%9C%EB%9D%BC-%EB%A7%88%EC%9D%BC%EB%93%9C-%ED%8F%BC-%ED%81%B4%EB%A0%8C%EC%A0%80-200ml/278/category/78/display/1/,나인위시스,40,40,False,15400.0
https://thewhoo.com/product/detail.html?product_no=198&cate_no=94&display_group=1,더후,40,40,False,70000.0
https://pioom.co.kr/product/%EC%8A%A4%ED%82%A8%EB%B0%94%EB%A6%AC%EC%8A%A4%ED%83%80-%EC%8C%80%EA%B2%A8-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-500ml/226/category/12/display/1/,스킨바리스타,40,40,False,23000.0
https://www.thefaceshop.com/mall/product/product-view.jsp?dpid=AF013656,닥터벨머,40,40,False,8000.0
https://eunyul.co.kr/product/%EB%A7%88%EC%9C%A0-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-150ml/16/category/45/display/1/,은율,40,40,False,4500.0
https://www.torriden.com/goods/goods_view.php?goodsNo=253,토리든,39,39,False,5000.0
https://www.suiskin.co.kr/product/detail.html?product_no=253&cate_no=83&display_group=1,수이스킨,39,39,False,12900.0
https://m.e-giverny.com/goods/goods_view.php?goodsNo=674,아크웰,39,39,False,3000.0
https://eunyul.co.kr/product/%EB%8D%B0%EC%9D%BC%EB%A6%AC-%EC%BC%80%EC%96%B4-%EC%95%84%ED%81%AC%EB%84%A4-%EB%B2%84%EB%B8%94-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A0%80-500ml/130/category/45/display/1/,은율,39,39,False,12800.0
https://www.theskinfood.com/shop/shopdetail.html?branduid=993&xcode=036&mcode=001&scode=003,스킨푸드,39,39,False,13000.0
https://illiyoon.com/product/detail.html?product_no=274,일리윤,39,39,False,17600.0
https://medihealshop.com/product/밀도-보습-히알루론산-클렌저-120ml/1520/,메디힐,39,39,False,9900.0
https://belifmall.com/product/빌리프-크리미-클렌징-폼-모이스트-160ml/23/,빌리프,39,39,False,23200.0
https://thewhoo.com/product/detail.html?product_no=766,더후,39,39,False,56000.0
https://odeloi.com/product/%EB%9D%BC%EC%A6%88%EB%B2%A0%EB%A6%AC-%EC%82%B4%EB%A6%AC%EC%8B%A4%EC%82%B0-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95/30/category/58/display/1/,오드로이,39,39,False,18500.0
https://pcalm.co.kr/product/%ED%94%BC%EC%BA%84-%ED%99%80%EB%A6%AC%EB%B0%94%EC%A7%88-%EA%B7%B8%EB%A6%B0%EC%BA%A1%EC%8A%90-%ED%8C%A9%ED%88%AC%ED%8F%BC-%ED%81%B4%EB%A0%8C%EC%A0%80/1428/category/206/display/1/,피캄,39,39,False,58680.0
