item_id,degree
https://brmudkorea.com/product/detail.html?product_no=21&cate_no=72&display_group=1,44
https://sum37.com/product/detail.html?product_no=382&cate_no=24&display_group=1,44
https://www.suiskin.co.kr/product/detail.html?product_no=327&cate_no=83&display_group=1,44
https://medipeel.co.kr/product/detail.html?product_no=3917&cate_no=728&display_group=1,44
https://lagom.kr/product/detail.html?product_no=326&cate_no=86&display_group=1,44
https://pongdangshop.com/product/detail.html?product_no=196&cate_no=117&display_group=1,45
https://brmudkorea.com/product/detail.html?product_no=171&cate_no=90&display_group=1,45
https://pyunkangyul.com/product/%EC%A7%84%EC%A0%95-%EC%95%84%ED%81%AC%EB%84%A4-%ED%81%B4%EB%A0%8C%EC%A7%95%ED%8F%BC-100ml/374/category/231/display/1/,45
https://medipeel.co.kr/product/detail.html?product_no=2391&cate_no=499&display_group=1,45
https://banila.com/product/detail.html?product_no=689&cate_no=214&display_group=1,45
https://lagom.kr/product/detail.html?product_no=327&cate_no=86&display_group=1,45
https://dewytree.com/product/detail.html?product_no=21&cate_no=54&display_group=1,46
https://myrealbarrier.co.kr/product/detail.html?product_no=215&cate_no=48&display_group=1,46
https://medipeel.co.kr/product/detail.html?product_no=2687&cate_no=499&display_group=1,46
https://anua.kr/product/detail.html?product_no=321&cate_no=24&display_group=1,47
https://dewytree.com/product/detail.html?product_no=610&cate_no=54&display_group=1,47
https://whataskin.co.kr/product/%EB%A7%88%EC%9D%BC%EB%93%9C-%EB%B0%94%ED%95%98-55-%EC%95%BD%EC%82%B0%EC%84%B1-%EB%B2%84%EB%B8%94-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-200ml/11/category/29/display/1/,47
https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1177326&search=%C5%AC%B7%BB%C0%FA&sort=sellcnt&xcode=019&mcode=000&scode=&GfDT=Zmp3VQ%3D%3D,47
https://www.sulwhasoo.com/kr/ko/products/concentrated-ginseng-rejuvenating-cleansing-foam.html,47
https://banila.com/product/detail.html?product_no=1154&cate_no=214&display_group=1,47
https://coreanamall.com/products/view/FCXJ060100,48
https://mixsoon.co.kr/product/detail.html?product_no=282&cate_no=106&display_group=1,48
https://medipeel.co.kr/product/detail.html?product_no=3301&cate_no=728&display_group=1,48
https://dewytree.com/product/detail.html?product_no=938&cate_no=54&display_group=1,48
https://imfrom.co.kr/product/detail.html?product_no=205&cate_no=175&display_group=1,48
