shown_pos,mapped_appearances,top1_count,avg_rank,top1_rate
1,5807,1706,2.010676769416222,0.2937833649044257
2,5811,2164,1.9867492686284633,0.37239717776630527
3,5802,1976,1.9905205101689072,0.34057221647707686
