cleansing_subtype,appearances,avg_rank,top1_rate
milk,102,1.3235294117647058,0.7254901960784313
cream,275,1.5963636363636364,0.5381818181818182
gel,392,1.655612244897959,0.5025510204081632
water,200,1.715,0.46
foam,7435,1.993544048419637,0.33570948217888363
balm,494,2.0526315789473686,0.2813765182186235
oil,912,2.0899122807017543,0.29714912280701755
unknown,1178,2.230899830220713,0.2300509337860781
powder,139,2.287769784172662,0.1510791366906475
