shown_pos,mapped_appearances,top1_count,avg_rank,top1_rate
1,2912,896,2.029532967032967,0.3076923076923077
2,2918,1054,1.9859492803289924,0.36120630568882794
3,2920,972,1.9876712328767123,0.33287671232876714
