set_id,item_triplet,brand_triplet,n_items,n_unique_items,n_unique_brands
main_01314,https://myrealbarrier.co.kr/product/detail.html?product_no=125 | https://myrealbarrier.co.kr/product/detail.html?product_no=68 | https://theuiq.com/product/%EB%B0%94%EC%9D%B4%EC%98%B4-%EB%A0%88%EB%AF%B8%EB%94%94-%EC%95%84%ED%81%AC%EB%84%A4-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-150ml/393/category/45/display/1/,리얼베리어 | 리얼베리어 | 유이크,3,3,2
main_01343,https://mixsoon.co.kr/product/detail.html?product_no=371&cate_no=106&display_group=1 | https://www.theskinfood.com/shop/shopdetail.html?branduid=10322201&search=%ED%8F%BC&sort=order&xcode=008&mcode=000&scode=&GfDT=aWV%2B | https://www.theskinfood.com/shop/shopdetail.html?branduid=993&xcode=036&mcode=001&scode=003,믹순 | 스킨푸드 | 스킨푸드,3,3,2
main_01420,https://thewhoo.com/product/detail.html?product_no=198&cate_no=94&display_group=1 | https://www.etude.com/shop/category/cleanser/cleanser-all/%eb%bd%80%ec%98%a4%ec%96%80-%eb%af%b8%ec%86%8c-%eb%b0%9c%ed%9a%a8-%ed%81%b4%eb%a0%8c%ec%a7%95-%ed%8f%bc-150ml/ | https://www.etude.com/shop/category/cleanser/cleanser-all/%ec%88%98%eb%b6%84%ea%b0%80%eb%93%9d-%ec%bd%9c%eb%9d%bc%ea%b2%90-%ed%81%b4%eb%a0%8c%ec%a7%95-%ed%8f%bc-150ml/,더후 | 에뛰드 | 에뛰드,3,3,2
main_01468,https://anua.kr/product/detail.html?product_no=420 | https://pyunkangyul.com/product/%EC%A7%84%EC%A0%95-%EC%95%BD%EC%82%B0%EC%84%B1-%ED%8F%AC%EB%B0%8D-%ED%81%B4%EB%A0%8C%EC%A0%80-150ml/203/category/231/display/1/ | https://pyunkangyul.com/product/약산성-모공-딥-클렌징폼-100ml/134/category/95/display/1/,아누아 | 편강율 | 편강율,3,3,2
main_01652,https://9wishes.co.kr/product/%EB%8D%94%EB%A7%88%ED%8B%B1-%EC%8B%9C%EC%B9%B4-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A0%80/162/category/78/display/1/ | https://myrealbarrier.co.kr/product/detail.html?product_no=71 | https://myrealbarrier.co.kr/product/detail.html?product_no=85,나인위시스 | 리얼베리어 | 리얼베리어,3,3,2
main_02267,https://clubclio.co.kr/shop/goodsView/0000005485 | https://thewhoo.com/product/detail.html?product_no=766 | https://thewhoo.com/product/detail.html?product_no=87,더후 | 더후 | 클럽클리오,3,3,2
main_02278,https://eunyul.co.kr/product/%EB%8D%B0%EC%9D%BC%EB%A6%AC-%EC%BC%80%EC%96%B4-%EB%A7%88%EC%9D%BC%EB%93%9C-%EB%B2%84%EB%B8%94-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A0%80-500ml/125/category/45/display/1/ | https://ilso.kr/product/%ED%94%BC%EC%A7%80-%ED%9D%A1%EC%B0%A9-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8C%A9%ED%8F%BC-%EA%B8%B0%ED%9A%8D-%EC%A6%9D%EC%A0%95-%EC%84%B8%EC%95%88-%ED%97%A4%EC%96%B4%EB%B0%B4%EB%93%9C/200/category/118/display/1/ | https://ilso.kr/product/new-%EC%96%B4%EC%84%B1%EC%B4%88%EB%AF%BC%EA%B0%90-pdrn-%EC%95%A1%ED%8B%B0%EB%B8%8C-%EB%B2%84%EB%B8%94-%ED%81%B4%EB%A0%8C%EC%A0%80/211/category/118/display/1/,은율 | 일소 | 일소,3,3,2
main_02323,https://www.innisfree.com/kr/ko/dp/product/35276 | https://www.sulwhasoo.com/kr/ko/products/gentle-cleansing-oil.html | https://www.sulwhasoo.com/kr/ko/products/the-ultimate-s-enriched-cleansing-foam.html,설화수 | 설화수 | 이니스프리,3,3,2
main_02379,https://9wishes.co.kr/product/%EB%8D%94%EB%A7%88%ED%8B%B1-%EC%8B%9C%EC%B9%B4-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A0%80/162/category/78/display/1/ | https://anua.kr/product/detail.html?product_no=348 | https://anua.kr/product/detail.html?product_no=420,나인위시스 | 아누아 | 아누아,3,3,2
main_02381,https://roundlab.co.kr/product/detail.html?product_no=130 | https://roundlab.co.kr/product/detail.html?product_no=140 | https://www.sulwhasoo.com/kr/ko/products/the-ultimate-s-enriched-cleansing-foam.html,라운드랩 | 라운드랩 | 설화수,3,3,2
